ticker,sector,bloomberg_sector
DHI,Consumer Discretionary,S5COND
MGM,Consumer Discretionary,S5COND
GM,Consumer Discretionary,S5COND
ULTA,Consumer Discretionary,S5COND
HAS,Consumer Discretionary,S5COND
F,Consumer Discretionary,S5COND
GPC,Consumer Discretionary,S5COND
MAR,Consumer Discretionary,S5COND
ROST,Consumer Discretionary,S5COND
SBUX,Consumer Discretionary,S5COND
GRMN,Consumer Discretionary,S5COND
ORLY,Consumer Discretionary,S5COND
LEN,Consumer Discretionary,S5COND
TSLA,Consumer Discretionary,S5COND
LOW,Consumer Discretionary,S5COND
WSM,Consumer Discretionary,S5COND
DRI,Consumer Discretionary,S5COND
NKE,Consumer Discretionary,S5COND
APTV,Consumer Discretionary,S5COND
RCL,Consumer Discretionary,S5COND
PODD,Health Care,S5HLTH
DGX,Health Care,S5HLTH
RMD,Health Care,S5HLTH
JNJ,Health Care,S5HLTH
MTD,Health Care,S5HLTH
MRK,Health Care,S5HLTH
PFE,Health Care,S5HLTH
IDXX,Health Care,S5HLTH
IQV,Health Care,S5HLTH
ISRG,Health Care,S5HLTH
ALGN,Health Care,S5HLTH
CI,Health Care,S5HLTH
INCY,Health Care,S5HLTH
ABT,Health Care,S5HLTH
TMO,Health Care,S5HLTH
A,Health Care,S5HLTH
UNH,Health Care,S5HLTH
ELV,Health Care,S5HLTH
COO,Health Care,S5HLTH
BAX,Health Care,S5HLTH
BDX,Health Care,S5HLTH
BSX,Health Care,S5HLTH
BMY,Health Care,S5HLTH
EW,Health Care,S5HLTH
AMGN,Health Care,S5HLTH
HOLX,Health Care,S5HLTH
ZBH,Health Care,S5HLTH
ABBV,Health Care,S5HLTH
REGN,Health Care,S5HLTH
UHS,Health Care,S5HLTH
SYK,Health Care,S5HLTH
DHR,Health Care,S5HLTH
CAH,Health Care,S5HLTH
GEHC,Health Care,S5HLTH
RVTY,Health Care,S5HLTH
WST,Health Care,S5HLTH
HSIC,Health Care,S5HLTH
GILD,Health Care,S5HLTH
HCA,Health Care,S5HLTH
BIIB,Health Care,S5HLTH
VRTX,Health Care,S5HLTH
TECH,Health Care,S5HLTH
CRL,Health Care,S5HLTH
HUM,Health Care,S5HLTH
LH,Health Care,S5HLTH
CNC,Health Care,S5HLTH
LLY,Health Care,S5HLTH
VTRS,Health Care,S5HLTH
MRNA,Health Care,S5HLTH
MDT,Health Care,S5HLTH
CVS,Health Care,S5HLTH
MCK,Health Care,S5HLTH
COR,Health Care,S5HLTH
WAT,Health Care,S5HLTH
STE,Health Care,S5HLTH
DXCM,Health Care,S5HLTH
SOLV,Health Care,S5HLTH
DVA,Health Care,S5HLTH
ZTS,Health Care,S5HLTH
LII,Industrials,S5INDU
BA,Industrials,S5INDU
PH,Industrials,S5INDU
CAT,Industrials,S5INDU
ROK,Industrials,S5INDU
GE,Industrials,S5INDU
CPRT,Industrials,S5INDU
GNRC,Industrials,S5INDU
MMM,Industrials,S5INDU
CHRW,Industrials,S5INDU
RTX,Industrials,S5INDU
UBER,Industrials,S5INDU
PWR,Industrials,S5INDU
SNA,Industrials,S5INDU
LUV,Industrials,S5INDU
RSG,Industrials,S5INDU
SWK,Industrials,S5INDU
BR,Industrials,S5INDU
TXT,Industrials,S5INDU
VLTO,Industrials,S5INDU
EXPD,Industrials,S5INDU
HUBB,Industrials,S5INDU
JCI,Industrials,S5INDU
IEX,Industrials,S5INDU
UNP,Industrials,S5INDU
CARR,Industrials,S5INDU
ADP,Industrials,S5INDU
OTIS,Industrials,S5INDU
WAB,Industrials,S5INDU
ALLE,Industrials,S5INDU
NDSN,Industrials,S5INDU
IR,Industrials,S5INDU
ODFL,Industrials,S5INDU
CSX,Industrials,S5INDU
AOS,Industrials,S5INDU
TDG,Industrials,S5INDU
CTAS,Industrials,S5INDU
ROL,Industrials,S5INDU
PCAR,Industrials,S5INDU
J,Industrials,S5INDU
CMI,Industrials,S5INDU
DE,Industrials,S5INDU
DOV,Industrials,S5INDU
ETN,Industrials,S5INDU
LDOS,Industrials,S5INDU
EMR,Industrials,S5INDU
FAST,Industrials,S5INDU
EFX,Industrials,S5INDU
FDX,Industrials,S5INDU
XYL,Industrials,S5INDU
HWM,Industrials,S5INDU
JBHT,Industrials,S5INDU
PNR,Industrials,S5INDU
AXON,Industrials,S5INDU
FIX,Industrials,S5INDU
GD,Industrials,S5INDU
FTV,Industrials,S5INDU
PAYX,Industrials,S5INDU
GEV,Industrials,S5INDU
GWW,Industrials,S5INDU
URI,Industrials,S5INDU
LHX,Industrials,S5INDU
WM,Industrials,S5INDU
ITW,Industrials,S5INDU
TT,Industrials,S5INDU
HII,Industrials,S5INDU
HON,Industrials,S5INDU
MAS,Industrials,S5INDU
UPS,Industrials,S5INDU
AME,Industrials,S5INDU
DAL,Industrials,S5INDU
LMT,Industrials,S5INDU
VRSK,Industrials,S5INDU
UAL,Industrials,S5INDU
NSC,Industrials,S5INDU
BLDR,Industrials,S5INDU
NOC,Industrials,S5INDU
VRT,Industrials,S5INDU
EME,Industrials,S5INDU
KVUE,Consumer Staples,S5CONS
EL,Consumer Staples,S5CONS
MDLZ,Consumer Staples,S5CONS
KO,Consumer Staples,S5CONS
PG,Consumer Staples,S5CONS
SJM,Consumer Staples,S5CONS
MO,Consumer Staples,S5CONS
SYY,Consumer Staples,S5CONS
KHC,Consumer Staples,S5CONS
ADM,Consumer Staples,S5CONS
KDP,Consumer Staples,S5CONS
PM,Consumer Staples,S5CONS
BF/B,Consumer Staples,S5CONS
WMT,Consumer Staples,S5CONS
TAP,Consumer Staples,S5CONS
CLX,Consumer Staples,S5CONS
MKC,Consumer Staples,S5CONS
CL,Consumer Staples,S5CONS
CAG,Consumer Staples,S5CONS
COST,Consumer Staples,S5CONS
TSN,Consumer Staples,S5CONS
TGT,Consumer Staples,S5CONS
CHD,Consumer Staples,S5CONS
KMB,Consumer Staples,S5CONS
CPB,Consumer Staples,S5CONS
DG,Consumer Staples,S5CONS
GIS,Consumer Staples,S5CONS
HSY,Consumer Staples,S5CONS
PEP,Consumer Staples,S5CONS
