Config,Ann. Sharpe,OOS Std %,ES (5%) %,Median Wkly Ret %,Kurtosis,HHI,Avg Turnover %
StockCap=10%,1.29,2.132,-4.673,0.515,3.86,0.0906,11.2
StockCap=15%,1.2,2.311,-5.082,0.456,4.53,0.1237,13.9
StockCap=20%,1.21,2.394,-5.19,0.5,4.4,0.1468,14.7
StockCap=25%,1.19,2.472,-5.361,0.487,4.26,0.171,14.9
StockCap=30%,1.16,2.54,-5.543,0.513,4.15,0.1927,15.1
StockCap=50%,1.16,2.54,-5.543,0.513,4.15,0.1927,15.1
StockCap=100%,1.16,2.54,-5.543,0.513,4.15,0.1927,15.1
