Config,Ann. Sharpe,OOS Std %,ES (5%) %,Median Wkly Ret %,Kurtosis,HHI,Avg Turnover %
k=4,1.2,2.495,-5.443,0.51,3.42,0.1897,15.9
k=5,1.18,2.512,-5.563,0.527,3.98,0.1913,14.2
k=6,1.16,2.54,-5.543,0.513,4.15,0.1927,15.1
k=7,1.23,2.566,-5.556,0.541,3.99,0.1972,13.4
k=8,1.24,2.602,-5.602,0.541,3.8,0.1999,12.6
k=9,1.24,2.603,-5.565,0.509,3.78,0.2007,12.0
