Date,GOOGL,NFLX,VZ,AMZN,HD,BKNG,WMT,COST,PG,XOM,CVX,SLB,JPM,BRK.B,GS,LLY,UNH,JNJ,BA,GE,CAT,NVDA,MU,MSFT,FCX,NEM,LIN,AMT,WELL,EQIX,NEE,DUK,SO
2004-08-19 04:00:00,2.492180585861206,0.2264290004968643,11.867542266845703,1.93149995803833,21.663143157958984,19.687854766845703,12.016459465026855,28.39948844909668,30.133380889892575,22.27242088317871,20.7771053314209,19.2573299407959,21.432201385498047,57.619998931884766,62.32151412963867,34.80597686767578,25.220657348632812,31.026086807250977,35.03974914550781,92.94082641601562,21.02136611938477,0.0890860557556152,11.191242218017578,16.71291732788086,10.58437156677246,29.62567710876465,26.75654983520508,10.65326690673828,11.23144245147705,24.114795684814453,4.482048511505127,14.482641220092772,11.573118209838867
2004-08-20 04:00:00,2.690133810043335,0.2262859940528869,11.97336483001709,1.975499987602234,21.73488998413086,19.963348388671875,11.97046184539795,28.43303680419922,30.33802795410156,22.35146141052246,21.018138885498047,19.672117233276367,21.798810958862305,57.880001068115234,63.192291259765625,34.887123107910156,25.48103141784668,31.168184280395508,35.186161041259766,92.77033996582033,21.301485061645508,0.0943578481674194,11.66933250427246,16.762229919433594,10.774658203125,29.861164093017575,26.776639938354492,10.77025318145752,11.351680755615234,24.44920539855957,4.451925754547119,14.436468124389648,11.534235000610352
2004-08-23 04:00:00,2.717207670211792,0.2272859960794448,11.931035995483398,1.972499966621399,21.519676208496097,20.524168014526367,11.78427505493164,28.044086456298828,30.282691955566406,22.22303771972656,20.78158187866211,19.405229568481445,21.742408752441406,57.31999969482422,62.96925354003906,34.83302307128906,25.243974685668945,31.17364501953125,35.31867218017578,92.37255859375,21.245460510253903,0.0964207500219345,11.86447525024414,16.836387634277344,10.679520606994627,29.450719833374023,26.575902938842773,10.667887687683104,11.493133544921877,24.085071563720703,4.459786415100098,14.41668701171875,11.553675651550291
2004-08-24 04:00:00,2.6046934127807617,0.2208569943904876,11.879629135131836,1.9524999856948853,21.71693992614746,20.48481559753418,11.7974214553833,28.22514533996582,30.393333435058594,22.153867721557617,20.821741104125977,19.456676483154297,21.764965057373047,56.599998474121094,62.99081039428711,34.995277404785156,25.251745223999023,31.239208221435547,35.49995803833008,92.71353912353516,21.569814682006836,0.0928294584155082,11.610790252685549,16.836387634277344,10.52491569519043,28.831707000732425,26.897056579589844,10.528963088989258,11.563857078552246,23.60946273803711,4.484667778015137,14.377121925354004,11.592561721801758
2004-08-25 04:00:00,2.632760763168335,0.2238570004701614,11.84334659576416,2.015000104904175,21.878337860107425,21.104673385620117,11.84998607635498,28.191612243652344,30.58692169189453,22.321821212768555,20.93332862854004,19.672117233276367,22.24437141418457,57.439998626708984,64.78994750976562,34.87628173828125,25.32558822631836,31.506956100463867,36.608680725097656,93.1681671142578,21.782123565673828,0.0968021228909492,11.73763370513916,17.027986526489258,10.741958618164062,29.632394790649418,27.171390533447266,10.78487491607666,11.496674537658691,23.899280548095703,4.52897834777832,14.541993141174316,11.643115997314451
2004-08-26 04:00:00,2.680199146270752,0.2177139967679977,11.794971466064451,2.009500026702881,21.860414505004883,20.74062728881836,11.801799774169922,28.446420669555664,30.808162689208984,22.35146141052246,21.091779708862305,19.98723030090332,22.250022888183594,57.400001525878906,65.57432556152344,34.3624267578125,25.37610626220703,31.430458068847656,36.308841705322266,93.1681671142578,21.734943389892575,0.097031332552433,11.542494773864746,16.960004806518555,10.860880851745604,29.51800537109375,27.586219787597656,10.682510375976562,11.55678653717041,23.512855529785156,4.523026943206787,14.410099983215332,11.662561416625977
2004-08-27 04:00:00,2.6364853382110596,0.2164289951324463,11.77985382080078,1.9950000047683716,21.87236595153809,20.809499740600582,11.73170566558838,28.19831085205078,30.963024139404297,22.4453067779541,21.25692367553711,20.022600173950195,22.40228843688965,57.41999816894531,65.11378479003906,34.78974914550781,25.508230209350582,31.534292221069336,36.25305938720703,93.11134338378906,21.73199462890625,0.0988649949431419,11.591278076171877,16.972368240356445,11.06602668762207,29.578556060791016,27.231603622436523,10.909178733825684,11.60983657836914,23.20816993713379,4.533608913421631,14.495826721191406,11.670334815979004
2004-08-30 04:00:00,2.5336592197418213,0.2064290046691894,11.801017761230469,1.9155000448226929,21.836498260498047,20.543846130371097,11.652854919433594,28.02396774291992,30.703079223632812,22.29218101501465,21.312719345092773,19.731687545776367,22.0526065826416,57.349998474121094,64.15662384033203,34.1839599609375,25.321701049804688,31.441389083862305,36.16939163208008,92.54307556152344,21.3044376373291,0.095579981803894,11.200997352600098,16.873476028442383,11.08089542388916,29.41035270690918,27.02420234680176,10.79218578338623,11.800801277160645,23.445968627929688,4.542206287384033,14.561771392822266,11.666452407836914
2004-08-31 04:00:00,2.542600631713867,0.1992859989404678,11.867542266845703,1.906999945640564,21.9054012298584,20.543846130371097,11.536763191223145,27.60820770263672,30.95750617980957,22.771310806274418,21.759061813354492,19.93165397644043,22.323335647583008,57.880001068115234,64.51647186279297,34.31917953491211,25.698652267456055,31.74738883972168,36.41344451904297,93.1681671142578,21.437116622924805,0.0951976627111435,11.230271339416504,16.873476028442383,11.187926292419434,29.867900848388672,27.15129852294922,10.887243270874023,12.023585319519045,23.62432098388672,4.576594829559326,14.601347923278809,11.802563667297363
2004-09-01 04:00:00,2.489945650100708,0.2038570046424865,11.94312572479248,1.9119999408721924,22.09712791442871,20.74062728881836,11.528002738952637,27.380205154418945,31.084716796875,22.939266204833984,22.02017593383789,20.308992385864254,22.142847061157227,57.439998626708984,64.1854248046875,34.67616271972656,25.90850257873535,31.5779972076416,36.531982421875,93.42388916015624,21.41353988647461,0.097031332552433,11.3571138381958,16.92909812927246,11.223607063293455,30.188032150268555,27.34535789489746,10.960360527038574,11.977621078491213,23.676345825195312,4.556755065917969,14.509017944335938,11.751999855041504
